Country;Mean Age
Andorra;32.9
Monaco;32.5
Italy;31.7
Spain;31.6
Ireland;31.5
San Marino;31.5
Luxembourg;31.2
Switzerland;31.2
Greece;31
Portugal;30.4
Netherlands;30.3
Norway;30.1
Denmark;30
Sweden;30
Austria;29.9
Finland;29.9
Germany;29.9
Cyprus;29.8
Malta;29.8
Belgium;29.5
Croatia;29.2
France;29.1
Slovenia;29
United Kingdom;29
Czechia;28.8
Iceland;28.8
Hungary;28.7
Estonia;28.6
Serbia;28.3
Lithuania;28.2
Poland;28.2
Bosnia and Herzegovina;28.1
Latvia;27.6
North Macedonia;27.4
Slovakia;27.3
Romania;27
Belarus;26.9
Türkiye;26.8
Albania;26.6
Bulgaria;26.6
Moldova;25.1